TableID,ColumnID,RowID,URI_sub,URI_gt,ok
50245608_0_871275842592178099,0,154,http://dbpedia.org/resource/Pearl_Harbor,http://dbpedia.org/resource/Pearl_Harbor_(film) http://dbpedia.org/resource/Pearl_Harbor_(soundtrack) http://dbpedia.org/resource/Pearl_Harbour_(film) http://dbpedia.org/resource/Pearl_Harbor_(2001_film) http://dbpedia.org/resource/Pearl_Harbor_(movie) http://dbpedia.org/resource/Pearl_Harbor_movie http://dbpedia.org/resource/Pearl_Harbor_(film),0
39107734_2_2329160387535788734,1,32,http://dbpedia.org/resource/Minneapolis-Saint_Paul_International_Airport,http://dbpedia.org/resource/Minneapolis%E2%80%93Saint_Paul_International_Airport http://dbpedia.org/resource/Minneapolis%E2%80%93Saint_Paul_International_Airport,0
21362676_0_6854186738074119688,1,75,http://dbpedia.org/resource/King_Kong,http://dbpedia.org/resource/King_Kong_(1933_film) http://dbpedia.org/resource/King_Kong_original http://dbpedia.org/resource/King_Kong_(1933_film) http://dbpedia.org/resource/King_kong_1 http://dbpedia.org/resource/King_Kong(1933_film) http://dbpedia.org/resource/The_Lost_Spider_Pit_Sequence http://dbpedia.org/resource/King_Kong_(1933),0
50245608_0_871275842592178099,0,186,NOT FOUND URI,http://dbpedia.org/resource/School_of_Rock http://dbpedia.org/resource/Stick-it-to-da-mon-ni-osis http://dbpedia.org/resource/School_Of_Rock:_America_Rocks! http://dbpedia.org/resource/School_of_Rock_2:_America_Rocks http://dbpedia.org/resource/Dewey_Finn http://dbpedia.org/resource/Zack_Mooneyham http://dbpedia.org/resource/The_School_Of_Rock http://dbpedia.org/resource/Rosalie_Mullins http://dbpedia.org/resource/School_Of_Rock http://dbpedia.org/resource/Zach_Mooneyham http://dbpedia.org/resource/School_of_rock http://dbpedia.org/resource/School_of_Rock http://dbpedia.org/resource/School_of_Rock_(film) http://dbpedia.org/resource/Joey_Gaydos_Jr. http://dbpedia.org/resource/Rebecca_Brown_(actress) http://dbpedia.org/resource/Joey_Gaydos http://dbpedia.org/resource/Rebecca_Julia_Brown,0
50245608_0_871275842592178099,0,74,http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas,http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas_(film) http://dbpedia.org/resource/Fear_&_Loathing_in_Las_Vegas_(film) http://dbpedia.org/resource/Deep_Dreaming_Fear_&_Loathing_in_Las_Vegas:_the_Great_San_Francisco_Acid_Wave http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas_(film),0
39759273_0_1427898308030295194,1,88,http://dbpedia.org/resource/A_Clockwork_Orange,http://dbpedia.org/resource/A_Clockwork_Orange_(film) http://dbpedia.org/resource/A_clockwork_orange_film http://dbpedia.org/resource/Stanley_Kubrick's_A_Clockwork_Orange http://dbpedia.org/resource/Clockwork_orange_film http://dbpedia.org/resource/A_clockwork_orange_(film) http://dbpedia.org/resource/A_Clockwork_Orange_(motion_picture) http://dbpedia.org/resource/Clockwork_Orange_(film) http://dbpedia.org/resource/A_Clockwork_Orange_(film),0
66009064_0_9148652238372261251,0,197,http://dbpedia.org/resource/Bill_Collins,http://dbpedia.org/resource/Bill_Collins_(outfielder) http://dbpedia.org/resource/Bill_Collins_(baseball_outfielder) http://dbpedia.org/resource/Bill_Collins_(outfielder),0
66009064_0_9148652238372261251,0,219,http://dbpedia.org/resource/Jimmy_Ryan,http://dbpedia.org/resource/Jimmy_Ryan_(baseball) http://dbpedia.org/resource/Jimmy_Ryan_(baseball) http://dbpedia.org/resource/Jimmy_Ryan_(baseball_player),0
39173938_0_7916056990138658530,1,46,http://dbpedia.org/resource/Mary_Poppins,http://dbpedia.org/resource/Mary_Poppins_(film) http://dbpedia.org/resource/Mary_Poppins_Returns http://dbpedia.org/resource/Mary_Poppins_2 http://dbpedia.org/resource/Mary_Poppins_(1964_film) http://dbpedia.org/resource/Mary_Poppins_(film) http://dbpedia.org/resource/Mary_Poppins_(soundtrack),0
13719111_1_5719401842463579519,0,48,NOT FOUND URI,http://dbpedia.org/resource/Lappet-faced_Vulture http://dbpedia.org/resource/Lappet-faced_vulture http://dbpedia.org/resource/Torgos_tracheliotos http://dbpedia.org/resource/Torgos http://dbpedia.org/resource/Lappet-faced_Vulture http://dbpedia.org/resource/Nubian_Vulture http://dbpedia.org/resource/Aegypius_tracheliotus http://dbpedia.org/resource/Nubian_vulture http://dbpedia.org/resource/Lappet_faced_vulture http://dbpedia.org/resource/Torgos_tracheliotus,0
